Cow,ID_Cow_Bracelet_Podometer,Patio,Gynecological_Status,Birth_Date,Daily_Production,Average_Daily_Production_Days,Average_Daily_Production_Percentage,Lactation_Number,Milk_Days,Days_After_Heat,Insemination,Days_After_Insemination,Pregnacy_Days,Inseminator_Name,Bull_Name,Number_of_Abortions,Insemination_Date,Production_Peak,Previous_Lactation_Production,Actual_Lactation_Production
10160,7758,18,Pregnacy,12/16/2021,44.4,49.2,-10,2,111,55,1,55,55,CARLOS-JEHU,MARADONA,0,2/10/2022,0,7545,4694
10161,7855,18,Pregnacy,12/18/2021,45.3,43.9,3,2,109,39,2,39,39,CARLOS-URIEL,KEYNOTE,0,2/26/2022,0,7763,4295
10165,6251,14,Pregnacy,1/13/2021,15.3,24.7,-38,1,448,137,5,137,137,CARLOS-URIEL,MUSTSEE,1,11/20/2021,37.7,0,13226
10166,7617,20,Heat,2/16/2022,42.6,39.1,9,2,49,27,0,0,0,0,0,0,0,0,8313,1754
10167,7912,18,Pregnacy,12/23/2021,51.3,48.7,5,2,104,41,1,41,41,CARLOS-JEHU,MARADONA,0,2/24/2022,0,7936,4901
10169,6788,19,Insemination,1/21/2022,49.4,50.8,-3,2,75,19,1,19,0,CARLOS-JEHU,FALCO,0,3/18/2022,0,8839,3030
10170,7756,18,Insemination,12/19/2021,51.6,51.6,0,2,108,32,1,32,0,CARLOS-URIEL,MUSTSEE,0,3/5/2022,0,8666,4878
10172,6941,19,Insemination,1/17/2022,40,42.5,-6,2,79,13,1,13,0,CARLOS-JEHU,FALCO,0,3/24/2022,0,7557,2780
10173,7264,21,Labor,3/10/2022,51.6,43.5,19,2,27,0,0,0,0,0,0,0,0,0,9409,974
10175,7302,14,Pregnacy,4/6/2021,41.4,34.3,20,1,365,120,8,120,120,CARLOS-URIEL,EXPO,0,12/7/2021,39.5,0,11988
10176,6736,16,Pregnacy,1/27/2021,27.6,27.9,-1,1,434,178,2,178,178,CARLOS-JEHU,EXPO,1,10/10/2021,36.4,0,12356
10178,7675,17,Pregnacy,12/13/2021,49.7,45.8,8,2,114,62,1,62,62,CARLOS-JEHU,EXPO,0,2/3/2022,0,5175,4570
10179,7867,18,Insemination,12/16/2021,44.8,45.3,-1,2,111,9,2,9,0,URIEL-JEHU,SCORPIO,0,3/28/2022,0,7813,4603
10180,8067,19,Insemination,1/13/2022,47.6,42.7,12,2,83,6,2,6,0,CARLOS-JEHU,SCORPIO,0,3/31/2022,0,6568,3237
10182,6213,19,Insemination,1/6/2022,50.5,51.3,-2,2,90,6,1,6,0,CARLOS-JEHU,FALCO,0,3/31/2022,0,7609,4223
10185,5817,19,Insemination,1/5/2022,45.3,47.8,-5,2,91,35,1,35,0,MVZ ROGELIO-JEHU,KEYNOTE,0,3/2/2022,0,7224,3760
10186,4976,20,Labor,2/17/2022,45.5,44.9,1,2,48,0,0,0,0,0,0,0,0,0,9888,1816
10188,2183,20,Labor,1/31/2022,44.1,38.2,16,2,65,0,0,0,0,0,0,0,0,0,7633,2289
10190,3695,20,Insemination,1/19/2022,37.7,36.9,2,2,77,5,1,5,0,DAVID-ADAN,OGDEN,0,4/1/2022,0,7303,2766
10192,939,20,Labor,3/6/2022,53.9,51.6,4,2,31,0,0,0,0,0,0,0,0,0,9583,1290
10200,1803,19,Insemination,1/4/2022,39.8,41.6,-4,2,92,1,2,1,0,CARLOS-JEHU,MUSTSEE,0,4/5/2022,0,7099,3639
10201,2997,20,Labor,2/25/2022,50.2,50.4,0,2,40,0,0,0,0,0,0,0,0,0,5161,1613
10202,7861,21,Labor,3/30/2022,34.6,27.6,26,2,7,0,0,0,0,0,0,0,0,0,8366,179
10204,7492,19,Insemination,1/22/2022,49,48.4,1,2,74,24,1,24,0,ROBERTO-MANUEL,EXPO,0,3/13/2022,0,7650,3226
10207,5088,20,Labor,2/4/2022,51.2,45.4,13,2,61,0,0,0,0,0,0,0,0,0,7194,2240
10208,0,14,Pregnacy,3/30/2021,0,0,0,1,372,88,3,88,88,CARLOS-URIEL,MUSTSEE,1,1/8/2022,36.1,0,10355
10209,3490,12,Pregnacy,7/28/2021,31,31.5,-2,1,252,87,4,87,87,MIGUEL-JAIME,MARADONA,1,1/9/2022,37.8,0,8203
10214,4838,14,Insemination,6/26/2021,33.9,31,9,1,284,17,7,17,0,CARLOS-JEHU,INFOCUS GOLD,0,3/20/2022,44.2,0,9246
10216,5475,21,Labor,3/15/2022,38.3,38.1,1,2,22,0,0,0,0,0,0,0,0,0,8049,659
10217,6268,14,Pregnacy,2/1/2021,38.1,36.1,6,1,429,72,4,72,72,URIEL-JEHU,INFOCUS GOLD,1,1/24/2022,40,0,13993
10220,1648,20,Insemination,2/3/2022,47.6,45.1,6,2,62,15,1,15,0,ROBERTO-DAVID,EXPO,0,3/22/2022,0,6338,2640
10221,2614,20,Heat,2/10/2022,43.1,41.6,4,2,55,34,0,0,0,0,0,0,0,0,6216,1811
10226,1838,19,Insemination,1/21/2022,55.7,55.4,0,2,75,19,1,19,0,CARLOS-JEHU,FALCO,0,3/18/2022,0,8472,3548
10227,5415,20,Insemination,2/8/2022,45.9,47.2,-3,2,57,7,1,7,0,ROBERTO-DAVID,OGDEN,0,3/30/2022,0,7118,2422
10228,5012,18,Insemination,1/1/2022,39,36.1,8,2,95,8,2,8,0,CARLOS-JEHU,FASTDRAW,0,3/29/2022,0,7187,3327
10229,3289,19,Insemination,1/22/2022,44.6,47.9,-7,2,74,19,1,19,0,CARLOS-JEHU,FALCO,0,3/18/2022,0,7682,3076
10230,3298,20,Insemination,2/1/2022,49.8,46.2,8,2,64,5,1,5,0,DAVID-ADAN,FALCO,0,4/1/2022,0,8227,2626
10232,717,20,Labor,2/10/2022,21.1,21.7,-3,2,55,0,0,0,0,0,0,0,0,0,8510,1526
10236,4780,14,Pregnacy,2/6/2021,35,31.6,11,1,424,53,6,53,53,CARLOS-URIEL,INFOCUS GOLD,1,2/12/2022,33.7,0,13117
10238,8056,19,Insemination,1/14/2022,43.5,48.4,-10,2,82,27,1,27,0,DAVID-MANUEL,MUSTSEE,0,3/10/2022,0,7678,3285
10239,7771,16,Pregnacy,6/23/2021,26.5,25.1,5,1,287,176,2,176,176,MIGUEL-MAURICIO,POPSTAR,0,10/12/2021,33.9,0,8027
10240,7211,14,Pregnacy,2/22/2021,31.2,27.5,14,1,408,76,6,76,76,CARLOS-JEHU,INFOCUS GOLD,1,1/20/2022,29.4,0,10252
10242,7315,14,No_Inseminate,3/30/2021,22.9,24.5,-6,1,372,67,3,67,0,CARLOS-JEHU,MUSTSEE,0,1/29/2022,40,0,11453
10243,4639,20,Insemination,2/6/2022,0,0,0,2,59,7,1,7,0,ROBERTO-DAVID,OGDEN,0,3/30/2022,0,8687,2044
10245,3075,19,Labor,1/8/2022,42.3,41.6,2,2,88,0,0,0,0,0,0,0,0,0,7701,3278
10247,7928,19,Insemination,1/10/2022,52.2,51.8,1,2,86,34,1,34,0,URIEL-JEHU,FASTDRAW,0,3/3/2022,0,9195,4219
