"vaca","estado","estado_ginecol","fecha_de_naci","lact_n","del","inseminacion_lac_1","inseminacion_lac_2","inseminacion_lac_3","inseminacion_lac_4","inseminacion_lac_5","inseminacion_lac_6","inseminacion_lac_7","inseminacion_lac_8","inseminacion_lac_9"
7121,"ordeno","prenez","10/11/2017",3,230,1,2,3,-1,-1,-1,-1,-1,-1
7129,"seca","prenez","8/1/2015",4,529,1,1,1,3,-1,-1,-1,-1,-1
7131,"ordeno","prenez","10/12/2017",3,138,3,1,1,-1,-1,-1,-1,-1,-1
7134,"ordeno","prenez","10/12/2017",3,210,2,3,1,-1,-1,-1,-1,-1,-1
7139,"ordeno","inseminacion","10/10/2016",4,143,3,2,1,2,-1,-1,-1,-1,-1
7140,"ordeno","inseminacion","10/22/2016",4,86,1,4,1,1,-1,-1,-1,-1,-1
7141,"ordeno","prenez","10/15/2016",4,166,1,1,2,1,-1,-1,-1,-1,-1
7144,"ordeno","inseminacion","12/8/2016",4,242,1,3,1,6,-1,-1,-1,-1,-1
7147,"ordeno","prenez","12/26/2016",4,177,1,1,2,1,-1,-1,-1,-1,-1
7151,"ordeno","prenez","12/22/2016",4,158,2,1,4,2,-1,-1,-1,-1,-1
7155,"ordeno","prenez","10/14/2017",2,360,6,8,-1,-1,-1,-1,-1,-1,-1
7156,"ordeno","prenez","1/11/2017",3,272,4,2,2,-1,-1,-1,-1,-1,-1
7158,"ordeno","prenez","10/15/2017",3,236,3,2,1,-1,-1,-1,-1,-1,-1
7159,"ordeno","prenez","12/16/2016",3,294,1,7,5,-1,-1,-1,-1,-1,-1
7160,"ordeno","inseminacion","10/15/2017",3,71,2,5,1,-1,-1,-1,-1,-1,-1
7164,"ordeno","prenez","10/16/2017",2,384,4,5,-1,-1,-1,-1,-1,-1,-1
7166,"ordeno","inseminacion","10/16/2017",3,168,3,4,2,-1,-1,-1,-1,-1,-1
7167,"ordeno","prenez","3/3/2017",3,258,6,1,3,-1,-1,-1,-1,-1,-1
7168,"ordeno","prenez","10/16/2017",3,192,1,3,2,-1,-1,-1,-1,-1,-1
7172,"ordeno","prenez","2/26/2017",3,228,2,2,1,-1,-1,-1,-1,-1,-1
7173,"ordeno","inseminacion","1/26/2017",4,56,1,1,3,1,-1,-1,-1,-1,-1
7174,"ordeno","inseminacion","2/2/2017",4,108,1,1,2,2,-1,-1,-1,-1,-1
7176,"ordeno","prenez","10/17/2017",3,225,3,1,1,-1,-1,-1,-1,-1,-1
7179,"ordeno","prenez","10/18/2017",3,239,2,2,1,-1,-1,-1,-1,-1,-1
7181,"ordeno","prenez","10/18/2017",3,222,1,3,2,-1,-1,-1,-1,-1,-1
7187,"ordeno","prenez","10/20/2017",3,179,3,1,2,-1,-1,-1,-1,-1,-1
7190,"ordeno","parto","10/20/2017",3,53,1,2,0,-1,-1,-1,-1,-1,-1
7191,"ordeno","prenez","10/21/2017",2,309,10,4,-1,-1,-1,-1,-1,-1,-1
7194,"ordeno","prenez","10/21/2017",2,332,8,5,-1,-1,-1,-1,-1,-1,-1
7196,"ordeno","inseminacion","10/21/2017",3,122,1,4,2,-1,-1,-1,-1,-1,-1
7198,"ordeno","inseminacion","10/22/2017",3,108,2,2,2,-1,-1,-1,-1,-1,-1
7199,"ordeno","prenez","10/22/2017",2,484,3,9,-1,-1,-1,-1,-1,-1,-1
7201,"ordeno","prenez","10/22/2017",3,218,3,1,4,-1,-1,-1,-1,-1,-1
7204,"ordeno","inseminacion","10/23/2017",2,310,8,5,-1,-1,-1,-1,-1,-1,-1
7205,"ordeno","inseminacion","10/23/2017",3,90,2,1,1,-1,-1,-1,-1,-1,-1
7206,"ordeno","prenez","10/23/2017",3,167,3,1,2,-1,-1,-1,-1,-1,-1
7212,"ordeno","parto","10/23/2017",3,36,1,2,0,-1,-1,-1,-1,-1,-1
7214,"ordeno","prenez","10/24/2017",3,304,1,2,4,-1,-1,-1,-1,-1,-1
7217,"ordeno","aborto","10/24/2017",3,254,2,2,3,-1,-1,-1,-1,-1,-1
7223,"ordeno","parto","10/24/2017",3,55,1,4,0,-1,-1,-1,-1,-1,-1
7224,"ordeno","parto","10/24/2017",3,60,3,1,0,-1,-1,-1,-1,-1,-1
7225,"ordeno","prenez","10/24/2017",3,152,2,5,1,-1,-1,-1,-1,-1,-1
7226,"ordeno","inseminacion","10/24/2017",3,84,2,4,2,-1,-1,-1,-1,-1,-1
7232,"ordeno","prenez","10/25/2017",3,282,1,1,1,-1,-1,-1,-1,-1,-1
7235,"ordeno","prenez","10/25/2017",3,186,2,3,1,-1,-1,-1,-1,-1,-1
7245,"ordeno","prenez","10/27/2017",3,166,1,2,1,-1,-1,-1,-1,-1,-1
7251,"ordeno","inseminacion","10/27/2017",2,208,5,2,-1,-1,-1,-1,-1,-1,-1
7252,"ordeno","prenez","10/27/2017",2,401,8,8,-1,-1,-1,-1,-1,-1,-1
7253,"ordeno","prenez","10/27/2017",3,223,2,1,2,-1,-1,-1,-1,-1,-1
7255,"ordeno","prenez","10/27/2017",3,283,1,1,3,-1,-1,-1,-1,-1,-1
7258,"ordeno","prenez","10/28/2017",3,278,2,2,3,-1,-1,-1,-1,-1,-1
7262,"ordeno","prenez","10/28/2017",3,305,1,1,4,-1,-1,-1,-1,-1,-1
7265,"ordeno","inseminacion","10/28/2017",3,76,2,1,1,-1,-1,-1,-1,-1,-1
7266,"ordeno","prenez","10/28/2017",3,228,2,2,5,-1,-1,-1,-1,-1,-1
7267,"ordeno","prenez","10/28/2017",3,225,2,2,2,-1,-1,-1,-1,-1,-1
7271,"ordeno","prenez","10/29/2017",3,234,1,1,1,-1,-1,-1,-1,-1,-1
7275,"ordeno","pd-inseminacion","10/29/2017",3,188,2,2,1,-1,-1,-1,-1,-1,-1
7277,"ordeno","prenez","10/29/2017",3,192,2,3,4,-1,-1,-1,-1,-1,-1
7278,"ordeno","prenez","10/29/2017",3,233,1,2,1,-1,-1,-1,-1,-1,-1
7280,"ordeno","prenez","10/29/2017",3,269,1,1,1,-1,-1,-1,-1,-1,-1
7281,"ordeno","prenez","10/29/2017",2,277,8,4,-1,-1,-1,-1,-1,-1,-1
7282,"ordeno","prenez","10/29/2017",3,210,1,4,1,-1,-1,-1,-1,-1,-1
7283,"ordeno","prenez","10/30/2017",3,207,1,4,2,-1,-1,-1,-1,-1,-1
7284,"ordeno","inseminacion","10/30/2017",3,142,1,6,2,-1,-1,-1,-1,-1,-1
7285,"ordeno","prenez","10/30/2017",3,163,3,2,1,-1,-1,-1,-1,-1,-1
7286,"ordeno","prenez","10/30/2017",3,115,4,1,1,-1,-1,-1,-1,-1,-1
7288,"ordeno","prenez","10/30/2017",3,196,1,1,1,-1,-1,-1,-1,-1,-1
7289,"seca","prenez","10/30/2017",2,349,3,3,-1,-1,-1,-1,-1,-1,-1
7290,"ordeno","inseminacion","10/30/2017",3,92,3,2,1,-1,-1,-1,-1,-1,-1
7292,"ordeno","inseminacion","10/31/2017",3,109,5,1,1,-1,-1,-1,-1,-1,-1
7298,"ordeno","prenez","11/1/2017",3,245,3,1,4,-1,-1,-1,-1,-1,-1
7308,"ordeno","prenez","11/1/2017",2,487,4,7,-1,-1,-1,-1,-1,-1,-1
7311,"ordeno","prenez","11/2/2017",3,316,1,1,7,-1,-1,-1,-1,-1,-1
7312,"ordeno","prenez","11/2/2017",3,309,1,1,4,-1,-1,-1,-1,-1,-1
7314,"ordeno","inseminacion","11/2/2017",3,76,4,3,1,-1,-1,-1,-1,-1,-1
7320,"ordeno","prenez","11/3/2017",3,255,1,1,2,-1,-1,-1,-1,-1,-1
7321,"ordeno","prenez","11/3/2017",3,175,1,4,2,-1,-1,-1,-1,-1,-1
7322,"ordeno","inseminacion","11/3/2017",3,199,2,2,4,-1,-1,-1,-1,-1,-1
7332,"ordeno","inseminacion","11/4/2017",3,59,2,4,1,-1,-1,-1,-1,-1,-1
7333,"ordeno","prenez","11/4/2017",3,166,1,4,3,-1,-1,-1,-1,-1,-1
7335,"ordeno","prenez","11/4/2017",2,416,6,6,-1,-1,-1,-1,-1,-1,-1
7338,"ordeno","prenez","11/5/2017",3,226,2,1,1,-1,-1,-1,-1,-1,-1
7342,"ordeno","inseminacion","11/5/2017",3,169,3,3,4,-1,-1,-1,-1,-1,-1
7345,"ordeno","inseminacion","11/5/2017",3,95,2,1,1,-1,-1,-1,-1,-1,-1
7349,"ordeno","prenez","11/5/2017",2,190,8,4,-1,-1,-1,-1,-1,-1,-1
7350,"ordeno","prenez","11/5/2017",3,177,2,2,1,-1,-1,-1,-1,-1,-1
7352,"ordeno","prenez","11/6/2017",3,222,3,1,1,-1,-1,-1,-1,-1,-1
7353,"ordeno","prenez","11/6/2017",3,176,4,3,2,-1,-1,-1,-1,-1,-1
7355,"ordeno","inseminacion","11/6/2017",3,113,1,2,1,-1,-1,-1,-1,-1,-1
7356,"ordeno","prenez","11/6/2017",3,240,1,1,2,-1,-1,-1,-1,-1,-1
7357,"ordeno","parto","11/6/2017",3,1,5,1,0,-1,-1,-1,-1,-1,-1
7359,"ordeno","inseminacion","11/7/2017",2,327,12,6,-1,-1,-1,-1,-1,-1,-1
7367,"ordeno","prenez","11/8/2017",3,272,1,1,2,-1,-1,-1,-1,-1,-1
7369,"ordeno","prenez","11/8/2017",3,192,1,4,3,-1,-1,-1,-1,-1,-1
7370,"ordeno","prenez","11/8/2017",3,214,2,1,1,-1,-1,-1,-1,-1,-1
